angle	ws (m/s)	Freq
165	4	0.000359658
165	5	0.000425722
165	6	0.000463031
165	7	0.000469444
165	8	0.00044727
165	9	0.000402418
165	10	0.000342941
165	11	0.000277347
165	12	0.000213113
165	13	0.000155702
165	14	0.000108208
165	15	7.15457E-05
165	16	4.50073E-05
165	17	2.69353E-05
165	18	1.53331E-05
165	19	8.30055E-06
165	20	4.27206E-06
165	21	2.08972E-06
165	22	9.71214E-07
165	23	4.28716E-07
165	24	1.79679E-07
165	25	7.14716E-08
168	4	0.0003597
168	5	0.00042762
168	6	0.00046796
168	7	0.000478255
168	8	0.000460213
168	9	0.000419033
168	10	0.000362131
168	11	0.000297624
168	12	0.000232917
168	13	0.000173704
168	14	0.000123509
168	15	8.3747E-05
168	16	5.4158E-05
168	17	3.34013E-05
168	18	1.96437E-05
168	19	1.10145E-05
168	20	5.88689E-06
168	21	2.99832E-06
168	22	1.45484E-06
168	23	6.72308E-07
168	24	2.95797E-07
168	25	1.23866E-07
171	4	0.000360811
171	5	0.000431306
171	6	0.000475368
171	7	0.000490133
171	8	0.000476669
171	9	0.000439445
171	10	0.000385251
171	11	0.00032182
171	12	0.000256496
171	13	0.000195213
171	14	0.000141945
171	15	9.86377E-05
171	16	6.55129E-05
171	17	4.15889E-05
171	18	2.52324E-05
171	19	1.46288E-05
171	20	8.10293E-06
171	21	4.28709E-06
171	22	2.166E-06
171	23	1.04475E-06
171	24	4.80942E-07
171	25	2.11238E-07
174	4	0.000363065
174	5	0.000436995
174	6	0.000485598
174	7	0.000505515
174	8	0.000497121
174	9	0.000464145
174	10	0.000412758
174	11	0.000350336
174	12	0.000284186
174	13	0.000220511
174	14	0.000163756
174	15	0.000116424
174	16	7.92553E-05
174	17	5.16615E-05
174	18	3.22428E-05
174	19	1.92651E-05
174	20	1.10181E-05
174	21	6.03036E-06
174	22	3.15778E-06
174	23	1.58164E-06
174	24	7.57527E-07
174	25	3.46842E-07
177	4	0.000366352
177	5	0.00044472
177	6	0.000498848
177	7	0.000524763
177	8	0.000522066
177	9	0.000493714
177	10	0.000445263
177	11	0.000383758
177	12	0.000316511
177	13	0.00025003
177	14	0.000189282
177	15	0.000137364
177	16	9.55771E-05
177	17	6.37618E-05
177	18	4.0782E-05
177	19	2.50047E-05
177	20	1.46941E-05
177	21	8.27451E-06
177	22	4.46386E-06
177	23	2.3064E-06
177	24	1.14101E-06
177	25	5.40322E-07
180	4	0.000370378
180	5	0.000454325
180	6	0.000515167
180	7	0.000548156
180	8	0.000552006
180	9	0.000528827
180	10	0.000483539
180	11	0.000422872
180	12	0.000354194
180	13	0.000284383
180	14	0.000218994
180	15	0.000161791
180	16	0.000114691
180	17	7.80114E-05
180	18	5.09103E-05
180	19	3.18717E-05
180	20	1.91369E-05
180	21	1.10179E-05
180	22	6.08094E-06
180	23	3.21634E-06
180	24	1.62981E-06
180	25	7.90973E-07
183	4	0.00037453
183	5	0.000465208
183	6	0.00053407
183	7	0.000575419
183	8	0.00058692
183	9	0.000569716
183	10	0.000528022
183	11	0.000468243
183	12	0.000397833
183	13	0.000324121
183	14	0.000253341
183	15	0.000190024
183	16	0.00013679
183	17	9.4498E-05
183	18	6.26411E-05
183	19	3.9836E-05
183	20	2.42976E-05
183	21	1.421E-05
183	22	7.96586E-06
183	23	4.27886E-06
183	24	2.20154E-06
183	25	1.0846E-06
186	4	0.000377662
186	5	0.000475768
186	6	0.000553627
186	7	0.000604472
186	8	0.00062477
186	9	0.000614555
186	10	0.00057721
186	11	0.000518738
186	12	0.000446655
186	13	0.000368766
186	14	0.000292063
186	15	0.000221939
186	16	0.000161819
186	17	0.000113192
186	18	7.59467E-05
186	19	4.88636E-05
186	20	3.01373E-05
186	21	1.78119E-05
186	22	1.00839E-05
186	23	5.46619E-06
186	24	2.83588E-06
186	25	1.4075E-06
189	4	0.000378954
189	5	0.000484638
189	6	0.000571986
189	7	0.000633113
189	8	0.000663192
189	9	0.000661009
189	10	0.00062897
189	11	0.00057254
189	12	0.000499212
189	13	0.000417239
189	14	0.000334401
189	15	0.000257028
189	16	0.000189452
189	17	0.000133886
189	18	9.06902E-05
189	19	5.88597E-05
189	20	3.6587E-05
189	21	2.17714E-05
189	22	1.23962E-05
189	23	6.75012E-06
189	24	3.51341E-06
189	25	1.74706E-06
192	4	0.000378093
192	5	0.000491019
192	6	0.000587841
192	7	0.000659586
192	8	0.0007001
192	9	0.000706826
192	10	0.000681054
192	11	0.000627561
192	12	0.000553683
192	13	0.000468043
192	14	0.000379188
192	15	0.000294427
192	16	0.000219071
192	17	0.000156151
192	18	0.000106583
192	19	6.96318E-05
192	20	4.35187E-05
192	21	2.60046E-05
192	22	1.4848E-05
192	23	8.09591E-06
192	24	4.21277E-06
192	25	2.09071E-06
195	4	0.000375202
195	5	0.000494643
195	6	0.000600437
195	7	0.000682622
195	8	0.000733761
195	9	0.000749926
195	10	0.000731193
195	11	0.00068151
195	12	0.000607913
195	13	0.000519271
195	14	0.000424832
195	15	0.000332873
195	16	0.000249726
195	17	0.000179305
195	18	0.000123154
195	19	8.0867E-05
195	20	5.07325E-05
195	21	3.03876E-05
195	22	1.73656E-05
195	23	9.46131E-06
195	24	4.9108E-06
195	25	2.42639E-06
198	4	0.000370731
198	5	0.000495686
198	6	0.000609521
198	7	0.000701444
198	8	0.000762851
198	9	0.000788486
198	10	0.00077719
198	11	0.000731987
198	12	0.000659479
198	13	0.000568648
198	14	0.000469331
198	15	0.000370708
198	16	0.000280118
198	17	0.000202387
198	18	0.000139727
198	19	9.21163E-05
198	20	5.79449E-05
198	21	3.47511E-05
198	22	1.98534E-05
198	23	1.07954E-05
198	24	5.58218E-06
198	25	2.74247E-06
201	4	0.000365334
201	5	0.000494644
201	6	0.000615251
201	7	0.000715717
201	8	0.000786442
201	9	0.000820983
201	10	0.000816999
201	11	0.000776575
201	12	0.000705792
201	13	0.000613613
201	14	0.000510327
201	15	0.000405905
201	16	0.000308614
201	17	0.000224158
201	18	0.000155424
201	19	0.000102791
201	20	6.47867E-05
201	21	3.88785E-05
201	22	2.21927E-05
201	23	1.20384E-05
201	24	6.19933E-06
201	25	3.02766E-06
204	4	0.000359749
204	5	0.000492194
204	6	0.00061805
204	7	0.000725423
204	8	0.000803941
204	9	0.000846175
204	10	0.000848761
204	11	0.00081292
204	12	0.000744192
204	13	0.000651425
204	14	0.000545214
204	15	0.000436157
204	16	0.000333312
204	17	0.000243153
204	18	0.000169188
